Name	CONTROLE_1_L007	CONTROLE_1_L008	SAL_24_1_L007	SAL_24_1_L008	SAL_48_1_L007	SAL_48_1_L008	SAL_48_2_L007	SAL_48_2_L008	SAL_48_3_L007	SAL_48_3_L008
Cre01.g041667.t2.1	0	0	0	0	0	0	0	0	0	0
Cre01.g041667.t1.1	0	0	0	0	0	0	0	0	0	0
Cre01.g041650.t1.1	2.26334	3.37215	1.00368	0.714975	6.5546	3.52989	0	0	11.9099	15.1114
Cre04.g213251.t1.1	15.4348	16.2303	19.7799	18.8011	0.763997	0.762057	14.0722	12.0014	21.6904	25.4598
Cre01.g041583.t1.1	0	0	0	0	0	0	0	0	0	0
Cre01.g041500.t1.1	2.7981	2.16359	1.34292	1.5423	1.7654	1.82574	2.64664	3.02516	2.04246	1.18388
Cre01.g041450.t1.1	4.88799	5.82802	4.21333	5.22307	3.56658	2.91883	3.6205	4.42903	2.71534	3.26443
Cre01.g041426.t1.1	0.144269	0	0	0	0	0	0.488719	0	0	0
Cre01.g041400.t1.1	15.4592	15.4294	13.5412	15.1001	9.1981	8.68279	16.3441	17.3549	14.6184	14.7634
Cre01.g041300.t1.2	3.57439	4.17466	12.7981	15.0234	6.77199	5.73573	12.385	11.7372	11.0026	7.52532
Cre01.g041256.t2.1	3.12703	0	0	0	10.4362	11.4268	9.39196	8.99642	0	0
Cre01.g041256.t1.2	2.30197	4.71537	6.2199	6.68108	0	0	5.43452	4.25699	8.15974	8.13497
Cre01.g041200.t1.1	24.4198	22.0342	11.1747	11.8983	7.24536	7.79903	8.93556	8.64052	9.5765	9.74772
Cre12.g527500.t1.2	34.2819	36.1576	30.8324	30.6047	18.7653	17.4967	27.8998	27.7273	24.3736	21.5697
Cre01.g040950.t1.2	0.228532	0.22823	0	0	0	0	0.389417	0.258984	0	0
Cre01.g040801.t1.1	0.177017	0.239451	0	0	0.166302	0.331917	0.067022	0.337846	0	0
Cre01.g040750.t1.1	35.8023	37.8308	24.2953	22.6207	18.1526	19.5293	18.0062	17.1708	10.7797	10.6916
Cre12.g486450.t1.2	27.6681	27.7114	23.187	23.2075	18.1284	21.1005	38.6285	40.4517	74.0477	74.2627
Cre01.g040701.t1.1	133.389	138.945	211.208	222.968	163.463	165.081	205.518	205.775	178.871	176.541
Cre01.g040650.t3.1	1.19927	0.409085	0	0	0	0	1.38085	1.4288	0	0
Cre01.g040650.t2.1	2.41286	2.69087	0.730307	1.10067	0.447581	0.619721	0	0	0	0
Cre01.g040600.t1.1	8.59675	9.78182	4.95852	5.16784	3.94167	3.02917	4.64974	5.46323	5.90653	5.14739
Cre01.g040550.t1.1	5.7067	4.152	3.29909	5.48496	4.81527	4.72856	8.13605	7.47009	0.862347	1.37554
Cre01.g040517.t1.1	0.119189	0.305466	0	0	0	0	0.074078	0.072568	0	0
Cre01.g040500.t1.2	28.3937	30.3196	30.4742	31.383	23.1019	22.8506	22.1186	23.6001	25.3846	25.9495
Cre01.g040450.t1.2	25.4973	27.2575	57.3407	56.9919	31.4197	31.7209	50.3993	47.5751	71.2047	69.2517
Cre01.g040379.t1.2	0.686285	0.685409	3.04052	2.94827	1.32783	1.36102	2.21182	2.42298	0	0
Cre01.g040300.t1.2	8.34713	6.96144	8.45659	8.2296	8.42001	10.8875	12.7862	13.5831	26.8027	24.7844
Cre01.g040250.t1.2	18.4111	17.2166	16.5687	15.2171	10.1947	9.94498	18.207	17.8867	7.1089	6.5737
Cre12.g523150.t1.2	79.8577	71.7529	133.565	143.301	70.0462	73.4684	104.849	105.132	97.9222	100.531
Cre01.g040200.t1.2	37.5273	35.4338	46.2479	45.5666	27.8326	28.0342	42.5827	43.1665	39.3201	36.6969
Cre01.g040050.t1.1	1.55839	1.89682	2.07899	2.5655	2.10656	2.69644	4.37305	4.14174	0.616436	1.22912
Cre01.g039950.t1.2	3.53114	3.71422	8.26981	7.15681	2.36914	2.2939	6.7089	6.09635	10.6885	11.6822
Cre01.g039850.t1.1	14.3092	18.3061	7.72119	7.80065	7.32094	8.68642	7.22604	6.96377	3.64633	3.72613
Cre01.g045650.t1.2	95.8943	92.3416	58.3335	60.4879	29.9432	31.3237	35.4979	34.1358	26.0398	31.1311
Cre01.g039800.t1.1	5.13249	4.01407	1.89072	2.09962	2.20043	1.94581	3.09133	2.7174	4.5176	4.27584
Cre01.g039750.t1.2	7.88935	8.54655	12.7915	13.3977	16.8526	14.9642	16.7517	16.0235	28.7442	29.8691
Cre01.g039702.t1.1	9.19179	10.0006	6.15086	5.39257	6.05108	6.22099	12.8283	11.2268	7.60495	5.67154
Cre01.g039650.t1.2	0	0	0	0	0	0	0.25997	0	0	0
Cre01.g039626.t1.1	2.61544	2.52198	0.405246	0.60649	1.9245	2.15897	3.17867	3.86348	0	0.094813
Cre01.g039600.t1.1	0.962706	0.99996	1.23224	1.10018	0.145231	0.181197	1.16227	1.18151	1.37758	1.57537
Cre01.g039500.t1.2	7.35032	7.18919	3.03809	3.28183	0.842093	0.536976	0.960838	1.156	0	0
Cre01.g039400.t1.1	20.2744	20.6928	19.3997	15.7012	11.4093	12.2922	20.9976	20.9485	22.5756	25.7779
Cre12.g544112.t1.1	0.634727	0.644253	1.34147	1.55175	0.182806	0.122882	0.680526	0.325316	1.41747	1.41316
Cre01.g039350.t1.2	13.557	12.5214	20.2115	19.5248	6.95273	7.02143	16.0063	17.1162	23.0069	22.2895
Cre01.g039300.t1.2	639.806	648.909	506.527	508.942	387.725	380.924	421.437	422.832	483.103	496.708
Cre01.g039250.t2.1	0	0.811573	4.93858	6.07555	2.21867	5.11419	0.926423	0.924558	0	0
Cre01.g039250.t1.1	3303.57	3336.12	1430.24	1453.11	1489.8	1449.67	1484.88	1496.5	1625.97	1630.22
Cre01.g039200.t1.2	126.212	127.248	94.4912	97.5164	47.4727	49.2788	46.8215	43.9024	74.8774	81.7245
Cre01.g039000.t1.1	0	0	0	0	0	0	0	0	0	0
Cre01.g038950.t1.2	32.2433	31.7075	52.8975	47.4708	34.3838	36.8542	58.1102	65.9643	65.2335	71.9141
Cre01.g038800.t1.2	26.4348	25.8892	24.9177	24.7861	15.9039	14.8409	24.0751	23.5037	23.0797	26.0046
Cre01.g038750.t1.2	40.1673	38.9503	20.9795	19.0172	11.1078	10.1727	11.2275	9.17978	7.55319	7.53011
Cre01.g038700.t1.2	10.9202	11.6018	12.9033	13.517	6.52047	6.22801	9.80088	9.5824	11.1989	11.9294
Cre01.g038650.t1.2	67.8272	68.7164	76.4295	74.6779	58.6673	61.0718	73.1055	74.592	52.5756	57.2585
Cre01.g038550.t1.1	4.98304	5.78226	16.3548	15.6501	10.3734	10.5839	17.6053	17.9625	12.5696	12.9737
